@relation Cardiotocography
@attribute LB real
@attribute AC real
@attribute FM real
@attribute UC real
@attribute DL real
@attribute DS real
@attribute DP real
@attribute ASTV real
@attribute MSTV real
@attribute ALTV real
@attribute MLTV real
@attribute Width real
@attribute Min real
@attribute Max real
@attribute Nmax real
@attribute Nzeros real
@attribute Mode real
@attribute Mean real
@attribute Median real
@attribute Variance real
@attribute Tendency real
@attribute NSP {1,2,3}
@attribute class {1,2,3,4,5,6,7,8,9,10}
@data
132,0.002,0,0.009,0.001,0,0.001,34,1.2,0,12.4,106,61,167,3,1,99,124,131,116,1,2,6
140,0,0,0.001,0,0,0,60,0.8,32,11.2,120,79,199,9,0,141,141,142,3,0,2,10
130,0.006,0,0.006,0,0,0,38,1,0,8.1,53,102,155,6,1,136,135,137,4,0,1,2
110,0.005,0.001,0.008,0.001,0,0,63,1.6,0,8.5,88,90,178,3,0,109,114,112,34,-1,1,2
140,0,0.001,0.003,0.007,0,0,62,1.2,0,3.9,93,66,159,5,2,142,136,144,26,1,1,7
123,0,0,0,0,0,0,32,1.1,0,16.9,76,66,142,3,0,125,125,125,4,1,1,3
132,0.013,0,0.01,0,0,0,30,1.3,0,11.2,69,97,166,2,0,145,142,144,8,1,1,2
122,0.001,0,0.006,0.001,0,0,21,1.7,0,14.3,37,105,142,1,0,125,123,125,3,0,1,1
138,0.004,0.002,0.004,0.006,0,0,50,1.9,0,5.6,102,70,172,8,0,142,137,142,32,1,1,6
127,0.005,0.008,0.001,0.001,0,0,54,1,5,15.6,83,63,146,9,1,140,135,138,14,1,1,2
148,0.002,0.004,0.003,0,0,0,77,0.5,3,9.6,32,140,172,2,0,150,152,153,2,0,1,2
140,0.003,0.001,0.007,0.004,0,0,63,1.2,0,5.3,68,93,161,4,0,143,136,143,19,1,1,6
133,0,0.001,0.006,0,0,0,79,0.5,70,3.1,10,131,141,1,0,136,135,137,0,0,1,1
131,0.008,0,0.008,0,0,0,24,1.3,0,7.3,42,117,159,2,0,136,138,139,5,0,1,2
144,0.01,0.007,0.001,0.001,0,0,71,0.8,0,2.7,94,82,176,3,0,156,154,155,6,1,1,2
141,0.005,0,0.006,0,0,0,58,0.5,0,7.8,37,131,168,0,0,153,153,154,2,0,1,2
152,0,0,0.005,0,0,0,57,0.5,43,8.7,41,123,164,4,0,160,158,161,1,1,1,1
146,0,0,0.005,0.001,0,0,65,0.4,41,7,28,134,162,4,0,152,150,152,1,0,2,10
148,0,0,0.005,0,0,0,50,0.5,60,4.9,12,151,163,1,0,160,159,160,0,1,1,1
125,0.003,0,0.004,0.001,0,0,32,1,7,8.4,54,93,147,2,0,126,126,128,3,0,1,2
138,0.012,0,0.006,0.001,0,0,51,1.2,0,1.6,98,73,171,8,0,148,147,149,12,1,1,2
117,0,0.011,0,0,0,0,51,0.8,9,13.3,77,56,133,5,0,123,122,124,2,1,1,1
138,0.006,0,0.005,0,0,0,59,0.8,0,7.7,43,125,168,3,0,148,144,146,6,0,1,2
120,0.003,0.006,0.004,0,0,0,42,1,0,9.4,67,109,176,7,0,123,131,127,31,-1,1,2
129,0,0.01,0.005,0,0,0,64,0.4,54,5.3,23,118,141,1,0,131,130,132,0,0,2,10
122,0.002,0,0.009,0.009,0,0,16,3.5,0,23.1,98,60,158,5,0,107,115,115,34,0,1,7
128,0,0.002,0.002,0,0,0,70,1.9,16,4.1,20,119,139,2,0,130,127,131,1,0,1,3
120,0.003,0.002,0.002,0,0,0,62,0.4,13,7.9,35,106,141,2,0,120,122,122,3,0,1,2
144,0.002,0,0.007,0.002,0,0,26,1.6,0,20.8,76,99,175,3,1,150,148,150,12,0,1,6
128,0,0.008,0.007,0.01,0,0,63,2.8,0,1.4,96,64,160,3,0,127,114,129,16,0,1,7
152,0,0,0.005,0,0,0,62,0.4,59,5.6,25,136,161,0,0,159,156,158,1,1,2,10
148,0,0.004,0.004,0,0,0,75,0.6,0,10.7,32,140,172,1,0,150,150,151,0,-1,2,10
126,0.009,0,0.008,0,0,0,23,1.5,0,10.3,33,122,155,2,0,136,137,139,3,0,1,2
119,0.004,0,0.007,0.001,0,0,23,1.5,5,7.9,75,70,145,1,1,126,122,125,9,1,1,6
133,0,0,0.007,0.001,0,0,37,1.1,0,29.1,90,67,157,9,1,140,136,140,12,1,1,3
159,0.002,0,0.009,0,0,0,58,0.5,13,8,42,146,188,2,0,167,172,174,8,0,2,5
120,0,0.002,0,0,0,0,69,0.3,21,7,19,114,133,2,0,120,120,121,0,-1,2,10
137,0,0,0.007,0,0,0,81,0.4,33,6.3,31,121,152,2,0,146,143,145,1,1,1,1
152,0,0,0.002,0,0,0,60,0.4,57,8,36,128,164,2,0,160,157,160,2,1,2,10
145,0.005,0,0.004,0,0,0,51,0.7,5,7.7,67,104,171,5,0,149,153,154,5,1,1,2
151,0,0,0.006,0.006,0,0,63,1.3,21,8.2,150,50,200,8,3,156,149,156,44,1,2,7
138,0.007,0,0.002,0.004,0,0,49,1.6,0,6,92,80,172,5,1,142,141,145,23,1,1,6
136,0,0,0.006,0.003,0,0,56,1.1,32,7.4,95,74,169,4,3,140,137,140,12,1,1,7
143,0,0.004,0,0,0,0,67,0.4,34,7.5,27,129,156,3,0,151,146,149,3,1,2,10
128,0.008,0,0.008,0.006,0,0,42,2.4,0,4.5,149,50,199,12,2,133,130,133,24,0,1,6
138,0.001,0,0.004,0,0,0,44,1,20,11.9,99,81,180,9,2,162,156,159,8,1,1,5
136,0,0,0.007,0,0,0,54,0.5,40,5.6,17,134,151,2,0,144,143,145,0,0,1,1
130,0.015,0.115,0,0,0,0,31,2.6,0,14,120,50,170,12,0,157,151,156,24,1,1,4
115,0.006,0,0.006,0.001,0,0,20,1.7,0,10.8,88,69,157,5,0,114,118,118,13,0,1,2
120,0.003,0,0.002,0.001,0,0,46,1.5,11,19,132,57,189,9,0,125,123,126,15,0,1,2
136,0.001,0,0.005,0,0,0,47,0.6,38,5.3,18,136,154,1,0,141,141,142,0,-1,1,1
149,0,0,0.009,0.009,0,0,39,2.5,25,5.6,137,51,188,4,1,155,139,153,97,1,1,7
133,0,0,0.01,0.003,0,0.002,61,2.8,0,0,105,57,162,6,0,125,96,103,95,0,3,8
138,0.002,0,0.004,0,0,0,41,0.8,8,10.3,51,105,156,4,0,142,142,143,2,1,1,1
134,0,0.003,0,0,0,0,81,0.2,53,4.9,16,129,145,2,0,135,135,136,1,0,3,9
147,0.006,0,0.004,0,0,0,44,0.7,36,3.6,35,143,178,0,0,157,158,159,1,0,1,2
143,0,0.002,0,0,0,0,74,0.3,54,4.9,23,131,154,3,0,151,150,151,0,1,2,10
126,0.009,0,0.005,0,0,0,24,1.5,0,9.4,33,122,155,1,1,136,137,138,3,0,1,2
136,0,0,0.003,0,0,0,47,0.9,2,10.6,39,119,158,2,1,144,143,145,1,0,1,1
136,0,0.004,0.008,0.007,0,0.001,64,2.2,0,3,85,67,152,5,0,134,119,131,45,1,1,7
144,0.003,0,0.005,0,0,0,29,1.4,0,18.1,58,117,175,3,0,150,149,150,9,0,1,2
146,0.006,0,0.003,0,0,0,38,1,0,8.8,49,126,175,3,0,150,152,153,5,0,1,2
141,0,0.002,0.003,0,0,0,58,0.5,15,8.1,23,130,153,1,0,144,143,145,1,0,1,1
130,0.007,0.001,0,0,0,0,67,0.9,0,2.8,46,112,158,4,0,137,138,139,4,0,1,2
137,0,0.004,0.002,0.007,0,0,59,1.8,0,8.6,102,52,154,10,1,142,123,141,35,1,1,7
143,0.008,0,0.002,0,0,0,60,2.2,0,3.9,79,101,180,8,0,150,132,153,14,0,1,2
140,0.003,0,0.008,0.004,0,0,38,3.5,0,21.7,127,50,177,5,0,143,141,145,25,1,1,6
148,0,0.003,0.004,0,0,0,79,0.4,4,10,20,140,160,1,0,150,151,153,1,0,2,10
144,0.003,0,0.006,0,0,0,50,0.6,21,5.3,27,142,169,2,0,157,157,158,2,0,1,2
134,0.008,0.001,0.007,0.004,0,0,59,1.2,0,5.2,109,80,189,6,0,150,146,150,33,0,1,6
146,0,0,0.003,0,0,0,65,0.4,39,7,19,137,156,1,0,150,149,151,1,1,2,10
159,0,0,0.003,0,0,0,62,0.5,6,13.2,91,81,172,0,0,163,163,164,2,1,2,10
122,0,0,0.006,0.002,0,0,27,1.1,0,10.7,35,101,136,1,0,125,122,124,3,0,1,7
135,0.009,0.002,0.006,0,0,0,60,0.9,0,3.8,39,124,163,2,0,148,143,146,6,0,1,2
123,0,0,0.001,0,0,0,72,0.3,58,6.5,52,84,136,3,0,123,123,124,1,1,2,10
136,0.008,0,0.007,0,0,0,42,0.7,20,4.3,38,120,158,2,1,141,143,144,3,0,1,2
133,0,0.001,0.006,0.003,0,0.003,60,2.2,0,5,105,60,165,5,0,100,104,108,52,0,3,8
138,0.001,0,0.004,0,0,0,43,0.7,9,8.3,25,131,156,0,0,142,142,144,1,0,1,1
140,0,0.003,0.005,0.004,0,0,63,1.2,3,8.1,94,65,159,3,2,140,131,139,28,1,1,7
110,0.004,0.001,0.009,0.003,0,0,64,1.8,0,6.8,176,62,238,7,0,110,106,110,36,-1,1,6
141,0.005,0,0.008,0,0,0,58,0.6,1,9.1,63,108,171,3,1,160,154,157,9,1,1,2
120,0.002,0.012,0.005,0,0,0,51,0.6,3,7.5,38,116,154,3,0,123,125,125,5,-1,1,1
135,0.002,0.037,0.003,0.001,0,0,65,2,0,5.2,65,96,161,3,0,138,130,141,3,1,1,2
125,0,0,0.004,0,0,0,37,0.8,20,7.1,22,116,138,2,0,126,125,127,1,0,1,1
125,0.003,0,0.004,0,0,0,37,0.8,5,6.7,30,115,145,2,0,131,130,132,1,0,1,2
126,0.004,0,0.006,0,0,0,29,1.3,0,9.2,65,103,168,2,0,127,134,133,18,0,1,2
138,0.005,0,0.002,0,0,0,18,4.2,0,17.2,62,114,176,4,0,157,149,151,13,0,1,2
142,0.003,0,0.007,0.003,0,0,30,1.4,0,17.2,83,76,159,4,1,144,142,145,10,1,1,6
137,0.002,0,0.007,0.006,0,0,27,1.6,0,10.1,81,86,167,2,0,144,136,141,23,1,1,6
128,0,0.016,0.01,0.008,0,0.002,16,2.9,0,7.8,125,53,178,9,0,133,114,121,74,0,1,7
122,0.006,0,0.004,0.001,0,0,22,1.8,0,11.5,52,96,148,1,0,131,128,130,7,0,1,2
123,0,0,0.007,0.005,0,0.002,28,1.4,0,4.5,77,61,138,3,1,114,112,115,15,1,2,7
142,0.014,0.06,0.003,0,0,0,38,1.3,0,0,62,127,189,8,0,180,171,176,22,1,1,4
125,0,0,0.004,0,0,0,38,0.8,11,9.5,35,103,138,2,0,131,129,131,1,1,1,1
159,0,0,0.009,0,0,0,66,0.4,16,7.2,23,147,170,0,0,165,164,166,0,1,2,10
128,0,0.028,0.004,0.004,0,0.004,36,2.6,0,0,120,54,174,8,2,75,91,79,108,-1,3,8
131,0.004,0.003,0.004,0.005,0,0.001,60,2.1,0,0.9,90,78,168,8,0,133,127,132,21,0,1,6
127,0.006,0.004,0,0,0,0,48,1.1,0,14.9,84,64,148,2,0,127,132,134,11,1,1,2
122,0.003,0,0,0.009,0,0,18,2.4,0,4.9,74,69,143,1,1,131,117,120,40,1,1,6
128,0.007,0,0.008,0.005,0,0,36,3.4,0,15.2,145,53,198,6,2,133,136,134,65,0,1,6
122,0,0,0.002,0.015,0,0,13,3,0,0.7,83,69,152,3,0,110,110,113,16,0,1,7
120,0.006,0.109,0.007,0,0,0,27,3.7,0,24.2,144,51,195,11,0,125,124,126,24,0,1,2
130,0,0.009,0.006,0,0,0,72,2.6,5,1.5,27,124,151,1,0,130,127,131,1,-1,1,1
131,0,0,0.008,0.009,0,0,25,2.4,3,3.9,108,59,167,7,1,136,120,134,82,1,1,7
140,0.003,0.003,0.004,0,0,0,34,2.9,0,40.8,114,66,180,9,2,147,145,148,22,1,1,2
123,0.006,0,0.006,0,0,0,36,0.9,16,3.7,34,115,149,1,0,126,127,127,3,-1,1,2
130,0.003,0.451,0.006,0.004,0,0.001,23,1.9,0,8.8,99,59,158,6,0,133,124,129,36,1,1,6
133,0.008,0.017,0.003,0,0,0,38,2.5,0,19.4,113,54,167,3,0,143,137,141,22,1,1,2
130,0,0,0.005,0,0,0,31,1.1,0,14.3,36,114,150,1,2,131,132,133,1,0,1,1
140,0,0,0.007,0,0,0,79,0.2,25,7.2,40,137,177,4,0,153,150,152,2,0,2,5
122,0,0,0.005,0.005,0,0,26,1.3,0,9.8,47,85,132,3,2,126,119,123,10,1,1,7
127,0,0.005,0,0,0,0,63,0.5,4,11.3,89,62,151,4,0,129,128,130,1,1,2,10
120,0,0.013,0,0.001,0,0,53,0.7,7,12.2,77,56,133,6,0,123,121,123,3,1,1,1
138,0.003,0.003,0.005,0.009,0,0,50,2.4,0,6,102,70,172,6,0,138,132,138,30,1,1,6
126,0,0,0.004,0,0,0,35,1,5,7.8,21,121,142,1,0,136,133,135,2,0,1,1
128,0.007,0,0.005,0.003,0,0,45,2.8,2,10.4,128,51,179,9,1,133,132,135,24,0,1,6
130,0.012,0,0.012,0,0,0,24,1.4,0,0,74,117,191,3,1,155,154,157,14,0,1,4
122,0,0,0.006,0.002,0,0,27,1.4,4,12.3,53,91,144,4,0,126,120,122,6,0,1,1
131,0.008,0.004,0.004,0.001,0,0,55,2.3,0,0,56,109,165,3,0,130,138,141,25,0,1,2
121,0,0,0.008,0.008,0,0,28,1.4,0,5.7,67,70,137,2,1,114,112,116,21,1,1,7
139,0.001,0.011,0,0,0,0,54,0.9,3,9.4,121,55,176,6,1,154,147,148,9,1,2,5
134,0.003,0.007,0.001,0,0,0,53,3.7,0,50.7,130,54,184,1,0,136,135,139,25,0,1,2
138,0.009,0,0.003,0.001,0,0,51,1.3,0,2,98,73,171,8,0,148,145,147,16,1,1,2
130,0,0.353,0,0,0,0.005,80,0.3,0,0,29,107,136,1,0,108,120,120,23,-1,3,9
125,0.008,0,0,0,0,0,41,1.2,0,11.4,63,98,161,4,0,138,135,137,6,0,1,2
128,0.001,0.003,0.006,0,0,0,78,1.2,35,2.4,27,124,151,2,0,128,127,130,1,-1,1,1
110,0.003,0.001,0.005,0.001,0,0,64,0.9,0,10.6,65,92,157,6,0,110,114,113,21,-1,1,2
123,0,0.001,0,0,0,0,70,0.3,66,5.9,30,101,131,1,0,123,123,124,1,1,2,10
140,0.004,0,0.004,0,0,0,80,0.2,36,2.2,18,140,158,1,0,147,148,149,1,0,1,2
110,0.003,0,0.003,0.001,0,0,64,1.6,0,6.8,116,62,178,12,1,107,105,108,37,0,1,6
131,0.015,0.017,0.001,0,0,0,31,3.2,0,7.1,133,53,186,10,1,150,144,149,25,1,1,4
129,0,0.007,0.004,0,0,0,65,0.4,73,3.9,7,127,134,1,0,131,130,132,0,0,3,9
133,0.001,0.001,0.005,0.005,0,0,57,2.6,0,1.5,81,83,164,6,0,132,125,132,21,0,1,7
135,0.006,0,0.006,0.005,0,0,27,1.5,0,5.8,96,69,165,5,2,143,139,142,17,1,1,6
122,0.003,0,0.004,0,0,0,22,1.8,0,14.7,50,103,153,4,0,126,127,128,4,0,1,2
135,0.006,0,0.004,0,0,0,58,1,0,5.6,43,121,164,3,0,147,144,146,6,0,1,2
127,0,0,0.007,0.006,0,0,20,2.2,0,19.3,78,81,159,4,0,131,122,124,23,0,1,7
148,0,0,0.006,0,0,0,51,0.5,62,4.5,8,155,163,1,0,160,159,161,0,0,2,10
135,0,0.001,0,0,0,0,56,1,39,16.4,89,67,156,8,0,143,140,142,6,1,2,5
127,0,0.001,0.005,0,0,0,63,0.7,59,4,20,120,140,2,0,126,125,127,0,-1,1,1
130,0.006,0.408,0.004,0.005,0,0.001,21,2.3,0,7.9,107,67,174,7,0,143,125,135,76,0,1,6
122,0,0,0.007,0.008,0,0,21,1.7,0,8,55,81,136,2,1,126,115,118,22,1,1,7
136,0,0,0.002,0,0,0,44,0.7,47,5.3,12,135,147,1,0,141,140,142,0,0,1,1
112,0.018,0,0.007,0,0,0,25,1.4,0,0.6,35,109,144,0,0,116,120,119,6,-1,1,2
130,0.004,0,0.005,0,0,0,23,1.6,8,9.6,115,62,177,9,0,134,134,135,5,0,1,2
144,0.005,0,0.007,0.003,0,0,33,1.1,0,7.7,68,113,181,3,0,153,154,155,12,0,1,2
148,0,0,0,0,0,0,67,0.4,67,4.9,15,139,154,4,0,150,149,151,0,1,2,10
123,0.006,0,0.006,0.004,0,0,33,1.3,0,4.7,138,61,199,9,1,135,122,127,39,0,1,6
134,0,0,0,0,0,0,81,0.2,91,1.3,3,133,136,1,0,135,134,136,0,1,3,9
133,0,0,0.006,0,0,0,53,0.7,2,9.8,34,113,147,4,1,136,136,138,1,1,1,1
140,0.004,0.001,0.008,0.005,0,0,63,1.2,0,6.2,70,95,165,6,0,147,137,143,25,1,1,6
143,0,0,0.007,0,0,0,66,0.4,4,13.6,56,106,162,4,1,146,145,147,2,1,1,1
139,0.009,0.001,0.008,0.006,0,0,50,1.4,0,14.5,102,76,178,8,0,162,142,147,71,1,1,6
127,0,0,0.006,0,0,0,24,1.7,0,15.8,91,107,198,9,0,135,136,138,7,-1,1,3
122,0.001,0,0.002,0,0,0,27,1.3,0,9.3,27,113,140,1,0,125,125,126,1,0,1,1
143,0.008,0,0.002,0,0,0,50,0.9,0,4.4,106,72,178,5,0,147,150,149,6,1,1,2
120,0.009,0,0.007,0,0,0,27,2,0,14.3,127,71,198,10,1,127,130,132,12,0,1,2
123,0.017,0,0.002,0,0,0,24,2.2,0,1.7,52,100,152,1,0,136,133,135,5,0,1,2
122,0,0,0.003,0,0,0,22,1.8,2,15.7,36,104,140,2,0,126,125,127,2,0,1,1
138,0,0,0.004,0,0,0,19,2.2,0,17.8,45,110,155,3,0,144,141,143,6,1,1,3
146,0.003,0,0.003,0.003,0,0,28,1.6,0,6.4,93,80,173,4,0,148,148,151,28,1,1,6
123,0,0,0,0,0,0,49,0.8,7,13.8,74,63,137,2,0,129,127,129,2,1,1,1
144,0.002,0,0.004,0.002,0,0,45,0.7,13,8.8,54,122,176,2,0,157,155,156,5,0,1,2
115,0.005,0,0.009,0.002,0,0.001,17,2,0,6.8,89,80,169,3,1,121,115,119,25,0,1,6
148,0.001,0,0.004,0,0,0,46,0.7,54,7.1,45,126,171,3,0,160,158,160,2,1,1,2
130,0.006,0.033,0.004,0,0,0,46,0.8,0,6.9,88,71,159,3,0,133,141,139,15,1,1,2
137,0.012,0,0.003,0.004,0,0,56,2.1,0,0.2,136,52,188,3,0,160,144,161,39,1,1,6
142,0,0.002,0.002,0,0,0,43,0.8,3,9.4,27,137,164,2,0,146,145,146,1,-1,1,1
140,0.004,0.001,0.007,0.004,0,0,64,1,0,5.7,69,96,165,4,0,145,139,144,17,1,1,6
137,0,0.001,0.007,0.004,0,0,59,1.8,0,6.4,102,64,166,5,1,139,133,140,13,1,1,7
142,0.013,0.013,0.004,0,0,0,45,1.2,0,4.5,134,51,185,5,0,156,158,158,14,1,1,4
130,0.007,0.001,0.001,0,0,0,70,0.7,6,4.4,31,127,158,1,0,139,140,141,3,0,1,2
110,0.003,0.002,0.006,0.006,0,0.002,68,3.1,0,0,133,60,193,8,0,91,82,95,42,-1,3,8
138,0.014,0,0.003,0.001,0,0,50,1.3,0,1.9,87,84,171,5,1,147,146,148,11,1,1,2
149,0,0,0.008,0,0,0,59,0.5,27,5.5,15,148,163,1,0,155,154,156,0,0,1,1
122,0.003,0.006,0.006,0.006,0,0,22,7,0,16.6,149,50,199,7,0,129,118,124,75,0,1,6
120,0.003,0.02,0.004,0,0,0,36,1.5,0,13.5,112,62,174,6,0,119,129,125,42,0,1,2
145,0,0,0.001,0,0,0,50,0.7,17,7.3,42,125,167,8,0,153,154,155,2,1,2,5
128,0,0.005,0,0,0,0,73,0.3,38,7.1,22,122,144,1,0,129,130,131,1,0,2,10
125,0.005,0.002,0.006,0.009,0,0,60,1.3,0,7.5,96,68,164,6,1,110,120,120,34,0,1,6
123,0.002,0,0.005,0,0,0,38,0.9,14,8.8,39,113,152,2,0,126,128,128,4,0,1,2
134,0.004,0.001,0.001,0.004,0,0.003,60,1.6,0,0,113,71,184,7,0,89,118,113,195,-1,3,8
142,0,0,0.004,0,0,0,44,0.8,1,11.1,32,126,158,1,0,145,146,147,2,0,1,1
148,0.004,0,0.005,0,0,0,37,0.8,0,7.1,39,142,181,1,0,157,157,159,3,0,1,2
124,0,0.007,0,0,0,0,59,0.6,0,7.6,25,111,136,0,0,129,129,130,0,1,1,1
120,0.005,0,0.01,0,0,0,56,0.9,13,8.7,130,55,185,10,0,125,128,130,8,0,1,2
122,0.001,0,0.003,0.012,0,0,16,2.7,0,5.5,96,56,152,1,2,112,113,116,21,0,1,7
144,0,0,0.004,0.002,0,0,33,1.2,2,10.4,61,99,160,2,0,153,147,152,19,1,1,7
138,0.007,0,0.004,0,0,0,59,0.7,0,8.5,43,125,168,1,0,148,145,147,6,0,1,2
131,0,0,0.005,0.008,0,0,32,1.8,6,2.3,97,59,156,3,1,135,120,133,70,1,1,7
146,0.006,0,0.008,0,0,0,27,1.3,0,9.4,62,126,188,4,0,157,156,157,5,0,1,2
151,0,0,0.008,0.005,0,0,61,1.3,15,10.5,150,50,200,8,1,156,148,155,42,1,2,7
138,0,0.002,0,0,0,0,68,0.3,21,7.2,22,128,150,1,0,144,142,144,1,1,2,10
123,0.003,0.004,0,0,0,0,50,0.9,4,14.8,82,58,140,7,0,129,128,130,5,1,1,2
130,0,0,0.005,0,0,0,52,0.6,44,5.9,30,123,153,2,1,137,136,138,0,0,1,1
140,0.004,0.001,0.007,0.005,0,0,64,1.1,0,3.8,73,96,169,5,0,146,140,144,16,0,1,6
137,0.002,0.004,0.007,0.006,0,0,58,1.9,0,3.9,109,52,161,8,2,139,132,140,28,1,1,6
120,0.011,0.058,0.001,0,0,0,35,2.4,0,11.4,121,55,176,10,0,167,149,157,72,1,1,4
134,0.005,0,0.006,0.004,0,0,62,1.1,0,4.9,83,90,173,5,0,142,142,146,15,0,1,6
112,0.005,0,0.007,0.002,0,0,17,2,1,9,66,78,144,0,1,112,112,113,9,0,1,6
120,0,0,0.003,0.012,0,0,59,1.6,0,9.8,85,69,154,4,1,91,107,107,62,0,3,8
140,0,0.007,0,0.005,0,0,61,0.9,16,12.4,129,64,193,9,1,142,138,141,11,0,2,7
121,0,0.001,0.005,0.012,0.001,0,66,2.1,0,0,102,55,157,5,1,67,83,90,98,-1,3,8
140,0.006,0.001,0.004,0.001,0,0,41,1.7,0,8.3,121,52,173,12,1,159,149,154,30,1,1,4
124,0,0,0,0,0,0,86,0.4,14,4.8,24,122,146,1,0,126,126,127,0,-1,3,9
